Option 1,,,,
Component,Quantity,Cost,Cost/unit,Notes
BME280,2,$12.89,$4.30,"Temperature, Humidity, Presurre"
ESP32C3 Xiao,3,$19.99,$6.66,Controller
LTR390-UV,1,$14.60,$14.60,UV sensor
PETG filament ,1,$15.60,$15.60,"Anemometer, wind vane, enclosure"
AS5600,3,$9.99,$3.33,Rotary Senor
Bearings 4mmIDx8mmODx3mmH,10,$8.69,$0.87,Bearings
Solar Power Manger,1,$16.29,$16.29,Charging and Boost Converter 
"VEML7700

",2,$12.99,$6.50,Light Sensor
6w solar panel,1,$18.99,$18.99,Solar Panel
1inOD PVC pipe,1,$5.41,$5.41,Mast
1inOD PVC 90,1,$1.48,$1.48,Elbow
Krylon Spray Paint,3,$7.98,$2.66,UV protection 
18650 Battery Holder,5,$5.98,$1.20,Holds the single 18650 cell
18650 Cells,6,$23.99,$4.00,Powers the station
,Total Cost,$174.87,$101.88,

